0,1,2,3,4,5,6,7,8,9
15.0,0.0,28925528_1,-29.54,Bus,95.58,642.91,1231.51,0.01,BusFlowNorthSouth0.0
15.0,0.0,239331354_0,148.85,Bus,114.61,572.26,1222.56,0.03,BusFlowSouthNorth0.0
15.0,0.0,-240120122_0,67.52,Bus,165.22,650.71,1021.37,12.84,BusFlowWestEast0.0
15.0,0.0,-1354_0,-93.35,Vehicle,58.87,423.89,1799.33,12.87,VehicleFlowEastToNorth.0
15.0,0.0,-1354_0,-93.35,Vehicle,15.8,421.38,1842.23,12.25,VehicleFlowEastToSouth.0
15.0,0.0,:431399507_0_0,-45.55,Vehicle,5.75,421.25,1862.21,10.01,VehicleFlowEastToWest.0
15.0,0.0,-1354_0,-100.83,Vehicle,172.0,442.31,1688.12,12.24,VehicleFlowEastToWest_0.0
15.0,0.0,-1280#0_0,-56.23,Vehicle,178.39,659.17,2207.67,13.74,VehicleFlowEastToWest_1.0
15.0,0.0,-1328#0_1,29.84,Vehicle,171.2,889.63,662.49,13.44,VehicleFlowWestToEast.0
15.0,0.0,-1328#0_1,22.52,Vehicle,100.95,953.64,633.98,13.05,VehicleFlowWestToEast.1
15.0,0.0,-1328#0_0,18.54,Vehicle,12.71,1035.9,602.26,5.82,VehicleFlowWestToEast.2
15.0,0.0,229259796#0_0,71.4,Vehicle,177.15,626.22,1148.28,11.77,VehicleFlowWestToEast_0.0
15.0,0.0,229259796#0_0,71.4,Vehicle,67.5,661.19,1044.35,13.49,VehicleFlowWestToEast_0.1
15.0,0.0,-1328#0_1,22.52,Vehicle,144.08,913.84,650.48,12.36,VehicleFlowWestToNorth.0
15.0,0.0,-1324_0,69.17,Vehicle,180.55,715.22,899.4,13.16,VehicleFlowWestToSouth.0
16.0,0.0,-1356_0,-102.46,Bus,84.19,572.0,1512.54,5.41,BusFlowEastWest0.0
16.0,0.0,28925528_1,-29.54,Bus,95.58,642.91,1231.51,0.0,BusFlowNorthSouth0.0
16.0,0.0,239331354_0,148.85,Bus,114.62,572.27,1222.56,0.0,BusFlowSouthNorth0.0
16.0,0.0,-240120122_0,67.52,Bus,178.37,645.68,1033.52,13.15,BusFlowWestEast0.0
